id;address;postal_code;city;province;country
1;mobile Fish;Home Loan Account Table Computer;South Sammieborough;Metal deposit;Austria
2;transmitter Implementation Electronics;Soap methodology Albania;North Einar;Investment Account Steel;France
3;24/7 Common bluetooth;syndicate;McLaughlinview;HDD;Palau
4;Centers;Factors;MacGyverfort;access Intelligent;Palestinian Territory
5;infomediaries;Investment Account;Bartonville;incentivize Tuna copy;Isle of Man
6;sky blue Georgia;Facilitator;Kirlinside;Chief Credit Card Account;Turks and Caicos Islands
7;Awesome;Aruba;Hanehaven;compress South Georgia and the South Sandwich Islands;Mongolia
8;Specialist Home Loan Account;Plastic;Cummerataton;Administrator;Samoa
9;orange Books;magenta monitor 1080p;Aprilside;deposit Internal;Svalbard & Jan Mayen Islands
10;Highway Ergonomic;moratorium moratorium;Lanefurt;COM;Kuwait
